category,strategy,cagr,sharpe,sortino,max_drawdown,calmar,ann_vol,win_rate,total_return,trades_per_month,crisis_non_negative_count,crisis_avg_sharpe,priority
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,0.1265,0.79,1.13,-0.363,0.35,0.1696,0.442,11.2752,14.9,4,0.251667,optimize_winner
Cat N: Seasonal,N1-SeasonalStrategy,0.1229,0.79,1.16,-0.2851,0.43,0.1628,0.4279,10.4769,9.1,4,0.218333,optimize_winner
Cat K: Factor,K4-ValueFactor,0.1458,0.81,1.14,-0.2536,0.57,0.1919,0.4137,16.5751,15.1,3,0.345,watch_and_rework
Cat P: ML Signal Combo,P1-FeatureComboSignal,0.1531,0.83,1.19,-0.355,0.43,0.1935,0.4293,19.0787,14.0,3,0.041667,watch_and_rework
Cat Q: Quality Trend,Q3-MomentumCrashFilter,0.1434,0.83,1.19,-0.3285,0.44,0.1814,0.4334,15.8136,13.7,2,-0.171667,watch_and_rework
Cat K: Factor,K1-LowVolFactor,0.16,0.84,1.2,-0.2781,0.58,0.2002,0.4157,21.7693,13.8,2,0.183333,watch_and_rework
Cat L: Volatility,L5-VolSpikeRecovery,0.0995,0.84,1.2,-0.182,0.55,0.1226,0.5438,6.371,1.3,4,0.316667,optimize_winner
Cat L: Volatility,L10-DynamicVolRegimeSwitch,0.15,0.84,1.19,-0.3501,0.43,0.1868,0.4249,17.9689,12.3,2,0.203333,watch_and_rework
Cat Q: Quality Trend,Q1-QualityTrend,0.1432,0.84,1.21,-0.3675,0.39,0.178,0.4282,15.7652,13.0,4,0.385,optimize_winner
Cat L: Volatility,L2-VolSpreadHarvest,0.1282,0.85,1.19,-0.3564,0.36,0.1568,0.4291,11.6889,4.4,3,0.23,watch_and_rework
Cat R: Regime Hardening,R7-VolExplosionAlpha,0.1434,0.85,1.2,-0.3273,0.44,0.1772,0.4302,15.8185,10.9,4,0.371667,optimize_winner
Cat L: Volatility,L3-VolTermStructure,0.1486,0.86,1.24,-0.2452,0.61,0.1808,0.4451,17.5034,16.2,4,0.22,optimize_winner
Cat R: Regime Hardening,R3-DefensiveRotation,0.1452,0.86,1.23,-0.3156,0.46,0.1749,0.424,16.3833,9.5,3,0.518333,watch_and_rework
Cat D: Crash-Hedge (General),D3-VolCarry,0.1603,0.89,1.28,-0.3177,0.5,0.1875,0.4393,21.8928,11.9,3,0.183333,watch_and_rework
Cat F: Crypto Crisis,F3-CryptoGoldDivergence,0.1407,0.89,1.34,-0.3259,0.43,0.1626,0.5016,14.9838,11.7,3,0.308333,watch_and_rework
Benchmark,BuyHold-SPY,0.1641,0.9,1.27,-0.3299,0.5,0.1897,0.4303,23.5152,11.3,0,0.0,watch_and_rework
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,0.1529,0.9,1.27,-0.244,0.63,0.1764,0.4396,19.0067,6.9,4,0.191667,optimize_winner
Cat O: Tail Risk,O1-TailRiskParity,0.1626,0.9,1.28,-0.3291,0.49,0.1876,0.4275,22.8905,17.5,4,0.318333,optimize_winner
Cat L: Volatility,L1-VolRiskPremium,0.1734,0.92,1.3,-0.3306,0.52,0.1955,0.4296,27.9833,13.4,3,0.278333,watch_and_rework
Cat L: Volatility,L4-VolOfVolRegime,0.1786,0.92,1.33,-0.3126,0.57,0.1998,0.4205,30.8396,15.7,3,0.265,watch_and_rework
Cat L: Volatility,L11-VolRiskPremiumAdaptive,0.1738,0.92,1.31,-0.3316,0.52,0.1954,0.4242,28.2112,13.6,3,0.273333,watch_and_rework
Cat O: Tail Risk,O7-PreciousMetalsCrisisHedge,0.1417,0.92,1.29,-0.3042,0.47,0.158,0.4317,15.2955,5.0,3,0.178333,watch_and_rework
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,0.1269,0.93,1.44,-0.3911,0.32,0.1387,0.5323,11.386,5.7,4,0.305,optimize_winner
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,0.1818,0.94,1.34,-0.2482,0.73,0.1982,0.4394,32.7014,12.7,4,0.256667,optimize_winner
Cat L: Volatility,L6-CrossAssetVolSignal,0.1767,1.01,1.47,-0.3027,0.58,0.1772,0.4417,29.7919,14.9,5,0.416667,optimize_winner
Cat R: Regime Hardening,R4-AdaptiveRiskBudget,0.1856,1.02,1.45,-0.3044,0.61,0.1835,0.4306,35.0761,11.2,5,0.306667,optimize_winner
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,0.156,1.07,1.69,-0.2396,0.65,0.1456,0.5285,20.166,6.0,4,0.32,optimize_winner
Cat R: Regime Hardening,R6-BondEquityHedge,0.1738,1.07,1.54,-0.2679,0.65,0.1616,0.4376,28.2109,6.7,4,0.478333,optimize_winner
Cat R: Regime Hardening,R9-MultiAssetCTATrend,0.2089,1.13,1.66,-0.2866,0.73,0.1819,0.5013,53.3038,10.9,2,-0.106667,watch_and_rework
Cat MF: Multi-Frequency,MF2-MonthlyMacroRegime,0.222,1.24,1.82,-0.2643,0.84,0.1744,0.4384,67.2274,9.2,5,0.645,optimize_winner
Ensemble,Ensemble-BestOfEach,0.2441,1.33,1.93,-0.1859,1.31,0.1755,0.5038,98.4843,16.5,4,0.6,optimize_winner
